dataset_id,sample_id,condition_id,request_id,status,disposition,generation_attempted,processing_latency_ms,generation_latency_ms,retrieval_latency_ms,validation_latency_ms,cpu_time_ms,memory_rss_delta_bytes
ULB,FOLLOWUP_ULB_148,B_dense,03f190ef-77cd-4116-bbc1-db108350d2db,completed,generated_released,True,13974.51,13964.56,5.282,0.017,1698.317,704512.0
ULB,FOLLOWUP_ULB_141,B_lexical,11f3d6d7-3d41-47b0-92d0-069d74ce1e04,completed,generated_released,True,16033.283,16018.771,9.552,0.018,1940.109,-819200.0
ULB,FOLLOWUP_ULB_148,C_lexical,12fb02bc-100b-4253-bd5c-048567518155,blocked,generated_blocked,True,13546.012,13530.993,10.145,0.038,1586.392,786432.0
ULB,FOLLOWUP_ULB_149,D_hybrid,18cc5b94-9b2f-48f0-a587-31c02e6d7311,blocked,generated_blocked,True,10868.751,10847.916,15.762,0.037,1103.109,1228800.0
ULB,FOLLOWUP_ULB_144,C_dense,1befd1b7-5a81-45e6-8ecb-0bb58679581b,blocked,generated_blocked,True,14742.497,14732.202,5.318,0.042,1735.975,868352.0
ULB,FOLLOWUP_ULB_149,C_dense,1cf66b88-e6a9-4cb9-bea1-03b2ab251554,completed,generated_released,True,16006.368,15974.774,26.417,0.064,1787.184,1622016.0
ULB,FOLLOWUP_ULB_145,A_direct,1e40fae3-ea5d-403a-8979-a338e9468215,completed,generated_released,True,10813.839,10809.072,0.0,0.022,1831.208,0.0
ULB,FOLLOWUP_ULB_144,A_direct,22002fdb-f4a3-48b5-8fa7-bbb785923ac3,completed,generated_released,True,11558.467,11553.601,0.0,0.015,1924.03,966656.0
ULB,FOLLOWUP_ULB_150,B_dense,23b87f03-030e-4839-84ba-3a07267206c4,completed,generated_released,True,15624.033,15612.838,5.134,0.022,1873.341,3653632.0
ULB,FOLLOWUP_ULB_148,D_hybrid,2fd22c35-6a1f-4376-adde-76d766749210,blocked,generated_blocked,True,13759.074,13738.759,15.569,0.034,1605.92,802816.0
ULB,FOLLOWUP_ULB_149,B_lexical,3c6db057-d6df-48e2-8e18-2431854b0288,completed,generated_released,True,16567.978,16549.741,10.141,2.471,1940.017,1294336.0
ULB,FOLLOWUP_ULB_147,A_direct,3e35d072-89e5-46e5-a569-ddb957e5bd1c,completed,generated_released,True,9690.146,9685.374,0.0,0.015,1579.313,65536.0
ULB,FOLLOWUP_ULB_148,B_lexical,3e57f1ec-585d-477f-b2ff-65992face2e5,completed,generated_released,True,14747.851,14733.551,9.673,0.015,1767.107,835584.0
ULB,FOLLOWUP_ULB_142,B_lexical,3f4d8eca-a9dd-40ed-8a70-54df824c7706,completed,generated_released,True,14874.166,14859.476,9.965,0.014,1753.346,2949120.0
ULB,FOLLOWUP_ULB_141,B_dense,449ac4ce-2e7c-4394-899d-ad684b6e0a2e,completed,generated_released,True,15483.684,15473.557,5.452,0.031,1927.912,737280.0
ULB,FOLLOWUP_ULB_142,C_dense,48ebe781-fdcb-4fc9-ab3f-cf1972a0294f,blocked,generated_blocked,True,14332.753,14322.409,5.669,0.033,1694.934,0.0
ULB,FOLLOWUP_ULB_143,B_lexical,50921d04-a5d5-4e76-89e5-629c6fff3f6f,completed,generated_released,True,14144.394,14129.332,10.287,0.014,1660.474,3440640.0
ULB,FOLLOWUP_ULB_148,C_dense,5272cb07-da89-4cf3-a22a-79e8de8cc8ef,blocked,generated_blocked,True,13557.255,13547.459,5.136,0.033,1609.503,671744.0
