dataset_id,condition_id,disposition,run_count,metric,n,mean,standard_deviation,minimum,p25,median,p75,p95,maximum
ULB,C_lexical,generated_blocked,63,memory_rss_delta_bytes,63,1948915.809524,5419057.528543,-3702784.0,688128.0,770048.0,958464.0,4040294.4,25165824.0
ULB,C_lexical,generated_released,5,processing_latency_ms,5,13837.0624,1814.574241,11959.174,12418.091,13330.264,15474.296,15897.6488,16003.487
ULB,C_lexical,generated_released,5,generation_latency_ms,5,13822.0032,1814.481151,11944.738,12402.866,13314.815,15458.844,15882.7712,15988.753
ULB,C_lexical,generated_released,5,retrieval_latency_ms,5,9.8766,0.208318,9.661,9.661,9.933,10.004,10.1,10.124
ULB,C_lexical,generated_released,5,validation_latency_ms,5,0.0622,0.003962,0.059,0.06,0.061,0.062,0.0676,0.069
ULB,C_lexical,generated_released,5,cpu_time_ms,5,1972.2874,233.174855,1770.021,1879.651,1886.034,1953.212,2288.6576,2372.519
ULB,C_lexical,generated_released,5,memory_rss_delta_bytes,5,-917504.0,3096966.07067,-3964928.0,-2539520.0,-2473984.0,671744.0,3109683.2,3719168.0
ULB,C_lexical,pre_generation_suppressed,82,processing_latency_ms,82,17.710768,18.985765,14.077,14.5145,14.9435,15.43025,17.0081,179.489
ULB,C_lexical,pre_generation_suppressed,82,generation_latency_ms,0,,,,,,,,
ULB,C_lexical,pre_generation_suppressed,82,retrieval_latency_ms,82,11.62661,11.559391,9.492,9.79525,10.087,10.33175,11.0503,112.859
ULB,C_lexical,pre_generation_suppressed,82,validation_latency_ms,0,,,,,,,,
ULB,C_lexical,pre_generation_suppressed,82,cpu_time_ms,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULB,C_lexical,pre_generation_suppressed,82,memory_rss_delta_bytes,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULB,D_hybrid,generated_blocked,65,processing_latency_ms,65,11493.186969,2046.008188,7126.292,9831.786,11241.583,12972.151,15098.899,16238.267
ULB,D_hybrid,generated_blocked,65,generation_latency_ms,65,11469.416631,2046.683664,7104.062,9810.841,11221.796,12952.115,15076.1534,16217.979
ULB,D_hybrid,generated_blocked,65,retrieval_latency_ms,65,17.696908,16.980949,14.39,14.781,15.388,16.292,17.3714,152.305
ULB,D_hybrid,generated_blocked,65,validation_latency_ms,65,0.035123,0.007466,0.021,0.029,0.035,0.039,0.0458,0.058
ULB,D_hybrid,generated_blocked,65,cpu_time_ms,65,1576.544662,245.808363,960.223,1397.773,1576.549,1772.529,1944.7092,1974.413
ULB,D_hybrid,generated_blocked,65,memory_rss_delta_bytes,65,1053869.292308,3225520.169523,-2998272.0,458752.0,770048.0,1064960.0,3912499.2,22708224.0
ULB,D_hybrid,generated_released,3,processing_latency_ms,3,12674.605333,584.027785,12003.318,12478.862,12954.406,13010.249,13054.9234,13066.092
ULB,D_hybrid,generated_released,3,generation_latency_ms,3,12601.247667,535.721597,11983.241,12435.0365,12886.832,12910.251,12928.9862,12933.67
ULB,D_hybrid,generated_released,3,retrieval_latency_ms,3,46.829667,54.283029,15.319,15.4895,15.66,62.585,100.125,109.51
ULB,D_hybrid,generated_released,3,validation_latency_ms,3,0.066,0.011269,0.059,0.0595,0.06,0.0695,0.0771,0.079
ULB,D_hybrid,generated_released,3,cpu_time_ms,3,1880.816333,95.395019,1770.722,1851.7405,1932.759,1935.8635,1938.3471,1938.968
ULB,D_hybrid,generated_released,3,memory_rss_delta_bytes,3,8202922.666667,13185652.784841,0.0,598016.0,1196032.0,12304384.0,21191065.6,23412736.0
ULB,D_hybrid,pre_generation_suppressed,82,processing_latency_ms,82,20.073671,1.807012,18.227,19.21225,19.744,20.37975,22.483,32.836
ULB,D_hybrid,pre_generation_suppressed,82,generation_latency_ms,0,,,,,,,,
ULB,D_hybrid,pre_generation_suppressed,82,retrieval_latency_ms,82,15.506024,1.058095,14.013,14.8035,15.194,15.90175,18.12445,19.383
ULB,D_hybrid,pre_generation_suppressed,82,validation_latency_ms,0,,,,,,,,
ULB,D_hybrid,pre_generation_suppressed,82,cpu_time_ms,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULB,D_hybrid,pre_generation_suppressed,82,memory_rss_delta_bytes,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
